tag_name,created_at,id,upload_url,name,zipball_url,published_at,tarball_url,assets_url,prerelease,url,html_url,draft,target_commitish,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.21,False,2016-04-12T15:56:20Z,2016-04-12T13:44:31Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/3003169,v4.0.21,3003169,v4.0.21,https://api.github.com/repos/wet-boew/wet-boew/releases/3003169/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/3003169/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.21,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.21,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.20,False,2015-12-16T14:42:19Z,2015-12-16T14:18:15Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/2298034,v4.0.20,2298034,v4.0.20,https://api.github.com/repos/wet-boew/wet-boew/releases/2298034/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/2298034/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.20,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.20,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.19+2,False,2015-12-03T00:37:29Z,2015-12-03T00:17:52Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/2224073,v4.0.19+2,2224073,v4.0.19+2,https://api.github.com/repos/wet-boew/wet-boew/releases/2224073/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/2224073/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.19%2B2,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.19+2,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.19,False,2015-12-01T18:39:27Z,2015-12-01T17:51:37Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/2215206,v4.0.19,2215206,v4.0.19,https://api.github.com/repos/wet-boew/wet-boew/releases/2215206/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/2215206/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.19,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.19,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.18,False,2015-09-24T14:55:33Z,2015-09-24T13:54:14Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/1862208,v4.0.18,1862208,v4.0.18,https://api.github.com/repos/wet-boew/wet-boew/releases/1862208/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/1862208/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.18,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.18,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.17,False,2015-08-21T20:01:20Z,2015-08-21T19:51:30Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/1706791,v4.0.17,1706791,v4.0.17,https://api.github.com/repos/wet-boew/wet-boew/releases/1706791/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/1706791/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.17,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.17,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.16,False,2015-07-21T20:33:06Z,2015-07-21T18:14:54Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/1567094,v4.0.16,1567094,v4.0.16,https://api.github.com/repos/wet-boew/wet-boew/releases/1567094/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/1567094/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.16,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.16,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.15,False,2015-06-24T17:54:16Z,2015-06-23T20:57:12Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/1455802,v4.0.15,1455802,v4.0.15,https://api.github.com/repos/wet-boew/wet-boew/releases/1455802/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/1455802/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.15,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.15,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.14,False,2015-05-19T14:49:58Z,2015-05-19T13:55:14Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/1313095,v4.0.14,1313095,v4.0.14,https://api.github.com/repos/wet-boew/wet-boew/releases/1313095/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/1313095/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.14,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.14,
https://api.github.com/repos/wet-boew/wet-boew/tarball/v4.0.13,False,2015-04-20T22:01:01Z,2015-04-20T21:38:37Z,False,master,https://api.github.com/repos/wet-boew/wet-boew/releases/1192007,v4.0.13,1192007,v4.0.13,https://api.github.com/repos/wet-boew/wet-boew/releases/1192007/assets,https://uploads.github.com/repos/wet-boew/wet-boew/releases/1192007/assets{?namelabel},https://github.com/wet-boew/wet-boew/releases/tag/v4.0.13,https://api.github.com/repos/wet-boew/wet-boew/zipball/v4.0.13,
