name,commit_sha,tarball_url,commit_url,zipball_url,
v3.0.5-release-dist,96ac8203528a75523de6792db0447bb868f5091f,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.5-release-dist,https://api.github.com/repos/wet-boew/wet-boew/commits/96ac8203528a75523de6792db0447bb868f5091f,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.5-release-dist,
v3.0.4-release-src,e06c10602a8ad5262c2d58b47b1c3e6ce4cdcc2d,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.4-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/e06c10602a8ad5262c2d58b47b1c3e6ce4cdcc2d,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.4-release-src,
v3.0.4-release-dist,3186f7b8a2dc94014848a189f14d95d5a38fd839,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.4-release-dist,https://api.github.com/repos/wet-boew/wet-boew/commits/3186f7b8a2dc94014848a189f14d95d5a38fd839,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.4-release-dist,
v3.0.3-release-src,5b68af18bdaf2a965453bb82d3d464f85fdd9ad8,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.3-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/5b68af18bdaf2a965453bb82d3d464f85fdd9ad8,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.3-release-src,
v3.0.3-release-dist,8fc16071c1593dd52bcebd514d6846a014bed067,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.3-release-dist,https://api.github.com/repos/wet-boew/wet-boew/commits/8fc16071c1593dd52bcebd514d6846a014bed067,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.3-release-dist,
v3.0.2-release,f8e62c0011c9d27516146266b6db1f83c87c2474,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.2-release,https://api.github.com/repos/wet-boew/wet-boew/commits/f8e62c0011c9d27516146266b6db1f83c87c2474,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.2-release,
v3.0.1-release,467944721c160b5dfc05a435c2df12e17fd36da7,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.1-release,https://api.github.com/repos/wet-boew/wet-boew/commits/467944721c160b5dfc05a435c2df12e17fd36da7,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.1-release,
v3.0.0-release,8f64b98adf46aa388a47bcc7fefcff662f6e8759,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.0-release,https://api.github.com/repos/wet-boew/wet-boew/commits/8f64b98adf46aa388a47bcc7fefcff662f6e8759,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.0-release,
v3.0.0-rc1,461326d7af1f846349b9673b8788f1df5baf3264,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.0-rc1,https://api.github.com/repos/wet-boew/wet-boew/commits/461326d7af1f846349b9673b8788f1df5baf3264,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.0-rc1,
v3.0.0-b4,aea9ad4af01865e00d324ed93ede9a69920fe34f,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.0-b4,https://api.github.com/repos/wet-boew/wet-boew/commits/aea9ad4af01865e00d324ed93ede9a69920fe34f,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.0-b4,
v3.0.0-b3,37751363f766baad457543269d0a7bf14b478b5e,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.0-b3,https://api.github.com/repos/wet-boew/wet-boew/commits/37751363f766baad457543269d0a7bf14b478b5e,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.0-b3,
v3.0.0-b2,d50143197357858784f02421ef02e36b60166779,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.0-b2,https://api.github.com/repos/wet-boew/wet-boew/commits/d50143197357858784f02421ef02e36b60166779,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.0-b2,
v3.0.0-b1,e4138f164a6d1e517e07f01ca20bf98ad117bff5,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.0-b1,https://api.github.com/repos/wet-boew/wet-boew/commits/e4138f164a6d1e517e07f01ca20bf98ad117bff5,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.0-b1,
v3.0.0-a1,734ff7ef3e1976c1b812ce4451ed4ecbaa0f340a,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.0-a1,https://api.github.com/repos/wet-boew/wet-boew/commits/734ff7ef3e1976c1b812ce4451ed4ecbaa0f340a,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.0-a1,
v3.0release,8f64b98adf46aa388a47bcc7fefcff662f6e8759,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0release,https://api.github.com/repos/wet-boew/wet-boew/commits/8f64b98adf46aa388a47bcc7fefcff662f6e8759,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0release,
v3.0rc1,461326d7af1f846349b9673b8788f1df5baf3264,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0rc1,https://api.github.com/repos/wet-boew/wet-boew/commits/461326d7af1f846349b9673b8788f1df5baf3264,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0rc1,
v3.0b4,aea9ad4af01865e00d324ed93ede9a69920fe34f,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0b4,https://api.github.com/repos/wet-boew/wet-boew/commits/aea9ad4af01865e00d324ed93ede9a69920fe34f,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0b4,
v3.0b3,37751363f766baad457543269d0a7bf14b478b5e,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0b3,https://api.github.com/repos/wet-boew/wet-boew/commits/37751363f766baad457543269d0a7bf14b478b5e,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0b3,
v3.0b2,d50143197357858784f02421ef02e36b60166779,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0b2,https://api.github.com/repos/wet-boew/wet-boew/commits/d50143197357858784f02421ef02e36b60166779,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0b2,
v3.0b1,e4138f164a6d1e517e07f01ca20bf98ad117bff5,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0b1,https://api.github.com/repos/wet-boew/wet-boew/commits/e4138f164a6d1e517e07f01ca20bf98ad117bff5,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0b1,
v3.0a1,734ff7ef3e1976c1b812ce4451ed4ecbaa0f340a,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0a1,https://api.github.com/repos/wet-boew/wet-boew/commits/734ff7ef3e1976c1b812ce4451ed4ecbaa0f340a,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0a1,
