milestone_id,,title,labels,release_Date,user_login,url,html_url,user_htmlURL,locked,release_Name,updated_at,number,repository_url,created_at,events_url,closed_at,comments_url,labels_url,state,id,milestone_htmlURL,
332810,,Fuzzy finder regression,bug ,2013-09-10T07:06:21Z,jnewland,https://api.github.com/repos/atom/atom/issues/553,https://github.com/atom/atom/issues/553,https://github.com/jnewland,False,Iron,2013-12-02T20:47:55Z,553,https://api.github.com/repos/atom/atom,2013-05-16T13:20:48Z,https://api.github.com/repos/atom/atom/issues/553/events,2013-05-16T15:50:08Z,https://api.github.com/repos/atom/atom/issues/553/comments,https://api.github.com/repos/atom/atom/issues/553/labels{/name},closed,14405266,https://github.com/atom/atom/milestone/6,
249389,,Keymap.loadDirectory fails when .DS_Store is present.,,2013-09-10T07:06:21Z,sbryant,https://api.github.com/repos/atom/atom/issues/205,https://github.com/atom/atom/issues/205,https://github.com/sbryant,False,Iron,2013-01-31T20:07:44Z,205,https://api.github.com/repos/atom/atom,2013-01-30T19:49:33Z,https://api.github.com/repos/atom/atom/issues/205/events,2013-01-31T20:07:44Z,https://api.github.com/repos/atom/atom/issues/205/comments,https://api.github.com/repos/atom/atom/issues/205/labels{/name},closed,10472908,https://github.com/atom/atom/milestone/2,
249389,,Verify file exists before jumping to symbol,,2013-09-10T07:06:21Z,kevinsawicki,https://api.github.com/repos/atom/atom/issues/153,https://github.com/atom/atom/issues/153,https://github.com/kevinsawicki,False,Iron,2013-01-22T21:51:43Z,153,https://api.github.com/repos/atom/atom,2013-01-22T17:27:33Z,https://api.github.com/repos/atom/atom/issues/153/events,2013-01-22T21:51:43Z,https://api.github.com/repos/atom/atom/issues/153/comments,https://api.github.com/repos/atom/atom/issues/153/labels{/name},closed,10201044,https://github.com/atom/atom/milestone/2,
337546,,Bump nak for better gitignoring,,2013-09-10T07:06:21Z,gjtorikian,https://api.github.com/repos/atom/atom/issues/561,https://github.com/atom/atom/pull/561,https://github.com/gjtorikian,False,Iron,2013-05-22T22:28:41Z,561,https://api.github.com/repos/atom/atom,2013-05-22T05:41:44Z,https://api.github.com/repos/atom/atom/issues/561/events,2013-05-22T17:11:22Z,https://api.github.com/repos/atom/atom/issues/561/comments,https://api.github.com/repos/atom/atom/issues/561/labels{/name},closed,14604965,https://github.com/atom/atom/milestone/7,
249389,,Read keymaps from ~/.atom/keymaps,,2013-09-10T07:06:21Z,probablycorey,https://api.github.com/repos/atom/atom/issues/184,https://github.com/atom/atom/issues/184,https://github.com/probablycorey,False,Iron,2013-01-29T07:00:49Z,184,https://api.github.com/repos/atom/atom,2013-01-29T01:22:55Z,https://api.github.com/repos/atom/atom/issues/184/events,2013-01-29T07:00:49Z,https://api.github.com/repos/atom/atom/issues/184/comments,https://api.github.com/repos/atom/atom/issues/184/labels{/name},closed,10400860,https://github.com/atom/atom/milestone/2,
249389,,Chars like ( ' and " should wrap the selection when entering them during a selection,enhancement ,2013-09-10T07:06:21Z,maddox,https://api.github.com/repos/atom/atom/issues/41,https://github.com/atom/atom/issues/41,https://github.com/maddox,False,Iron,2013-01-24T01:30:12Z,41,https://api.github.com/repos/atom/atom,2012-09-25T17:41:03Z,https://api.github.com/repos/atom/atom/issues/41/events,2013-01-24T00:25:11Z,https://api.github.com/repos/atom/atom/issues/41/comments,https://api.github.com/repos/atom/atom/issues/41/labels{/name},closed,7128692,https://github.com/atom/atom/milestone/2,
249389,,Text selection from line number column,,2013-09-10T07:06:21Z,dgraham,https://api.github.com/repos/atom/atom/issues/287,https://github.com/atom/atom/issues/287,https://github.com/dgraham,False,Iron,2013-02-20T15:29:26Z,287,https://api.github.com/repos/atom/atom,2013-02-19T19:20:08Z,https://api.github.com/repos/atom/atom/issues/287/events,2013-02-20T02:16:38Z,https://api.github.com/repos/atom/atom/issues/287/comments,https://api.github.com/repos/atom/atom/issues/287/labels{/name},closed,11167695,https://github.com/atom/atom/milestone/2,
249389,,If no `stylesheets` key is provided in `package.cson` for a theme load all stylesheets in alpha order,,2013-09-10T07:06:21Z,nathansobo,https://api.github.com/repos/atom/atom/issues/263,https://github.com/atom/atom/issues/263,https://github.com/nathansobo,False,Iron,2013-02-14T17:04:48Z,263,https://api.github.com/repos/atom/atom,2013-02-13T05:00:19Z,https://api.github.com/repos/atom/atom/issues/263/events,2013-02-14T17:04:48Z,https://api.github.com/repos/atom/atom/issues/263/comments,https://api.github.com/repos/atom/atom/issues/263/labels{/name},closed,10940980,https://github.com/atom/atom/milestone/2,
332810,,Auto indent cleanup,,2013-09-10T07:06:21Z,probablycorey,https://api.github.com/repos/atom/atom/issues/542,https://github.com/atom/atom/pull/542,https://github.com/probablycorey,False,Iron,2014-07-02T06:49:13Z,542,https://api.github.com/repos/atom/atom,2013-05-07T23:40:50Z,https://api.github.com/repos/atom/atom/issues/542/events,2013-05-13T21:31:57Z,https://api.github.com/repos/atom/atom/issues/542/comments,https://api.github.com/repos/atom/atom/issues/542/labels{/name},closed,14077046,https://github.com/atom/atom/milestone/6,
249389,,Default to running in stable mode and add a --dev flag,,2013-09-10T07:06:21Z,nathansobo,https://api.github.com/repos/atom/atom/issues/198,https://github.com/atom/atom/issues/198,https://github.com/nathansobo,False,Iron,2013-02-22T20:01:09Z,198,https://api.github.com/repos/atom/atom,2013-01-29T19:06:11Z,https://api.github.com/repos/atom/atom/issues/198/events,2013-02-22T19:57:24Z,https://api.github.com/repos/atom/atom/issues/198/comments,https://api.github.com/repos/atom/atom/issues/198/labels{/name},closed,10429360,https://github.com/atom/atom/milestone/2,
249389,,Write a CSON pretty printer,,2013-09-10T07:06:21Z,Caged,https://api.github.com/repos/atom/atom/issues/218,https://github.com/atom/atom/issues/218,https://github.com/Caged,False,Iron,2013-02-04T21:14:16Z,218,https://api.github.com/repos/atom/atom,2013-01-31T20:41:50Z,https://api.github.com/repos/atom/atom/issues/218/events,2013-02-04T20:40:48Z,https://api.github.com/repos/atom/atom/issues/218/comments,https://api.github.com/repos/atom/atom/issues/218/labels{/name},closed,10516489,https://github.com/atom/atom/milestone/2,
249389,,Background windows lose text selection,,2013-09-10T07:06:21Z,dgraham,https://api.github.com/repos/atom/atom/issues/286,https://github.com/atom/atom/issues/286,https://github.com/dgraham,False,Iron,2013-02-20T00:59:02Z,286,https://api.github.com/repos/atom/atom,2013-02-19T19:13:13Z,https://api.github.com/repos/atom/atom/issues/286/events,2013-02-20T00:59:00Z,https://api.github.com/repos/atom/atom/issues/286/comments,https://api.github.com/repos/atom/atom/issues/286/labels{/name},closed,11167376,https://github.com/atom/atom/milestone/2,
249389,,Move atom cli creation out of Rakefile and into the app,,2013-09-10T07:06:21Z,probablycorey,https://api.github.com/repos/atom/atom/issues/300,https://github.com/atom/atom/issues/300,https://github.com/probablycorey,False,Iron,2013-02-23T05:19:56Z,300,https://api.github.com/repos/atom/atom,2013-02-22T00:31:12Z,https://api.github.com/repos/atom/atom/issues/300/events,2013-02-23T05:19:56Z,https://api.github.com/repos/atom/atom/issues/300/comments,https://api.github.com/repos/atom/atom/issues/300/labels{/name},closed,11268956,https://github.com/atom/atom/milestone/2,
